Model,Params,Feats,Train,Validation,Test,Precision
rbf_svm,"{'C': '10', 'gamma': '0.01'}","X_stats, X_name, X_sample1, X_sample2",0.9473435536566976,0.7893878642074312,0.8385321100917432,"{'Datetime': 1.0, 'Sentence': 0.7142857142857143, 'Custom Object': 0.7741935483870968, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
rbf_svm,"{'C': '1000', 'gamma': '1'}",X_stats,0.7419452123649158,0.6597166533012564,0.7321100917431193,"{'Datetime': 0.6585365853658537, 'Sentence': 0.9090909090909091, 'Custom Object': 0.7017543859649122, 'URL': 0.0, 'Numbers': 0.0, 'List': 0.0}"
rbf_svm,"{'C': '100', 'gamma': '0.01'}",X_name,0.9131775152885986,0.7892809409248864,0.7908256880733945,"{'Datetime': 0.8571428571428571, 'Sentence': 0.8125, 'Custom Object': 0.7619047619047619, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
rbf_svm,"{'C': '10', 'gamma': '0.01'}","X_stats, X_name",0.9154997067940018,0.7939855653568565,0.8055045871559633,"{'Datetime': 0.9583333333333334, 'Sentence': 0.8235294117647058, 'Custom Object': 0.7538461538461538, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
rbf_svm,"{'C': '10', 'gamma': '0.01'}",X_sample1,0.8570662645555835,0.7314889067094359,0.8073394495412843,"{'Datetime': 0.9583333333333334, 'Sentence': 0.8421052631578947, 'Custom Object': 0.7619047619047619, 'URL': 0.6666666666666666, 'Numbers': 0.0, 'List': 0.0}"
rbf_svm,"{'C': '10', 'gamma': '0.01'}","X_name, X_sample1",0.9346050096339116,0.8055600106923283,0.8330275229357799,"{'Datetime': 0.9615384615384616, 'Sentence': 0.72, 'Custom Object': 0.8214285714285714, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
rbf_svm,"{'C': '1000', 'gamma': '0.01'}","X_stats, X_sample1",0.884280807573092,0.7522320235231221,0.8,"{'Datetime': 0.9230769230769231, 'Sentence': 0.7727272727272727, 'Custom Object': 0.7796610169491526, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
rbf_svm,"{'C': '10', 'gamma': '0.01'}","X_stats, X_name, X_sample1",0.03743064421546453,0.032407377706495585,0.03346788990825687,"{'Datetime': 1.0, 'Sentence': 0.7142857142857143, 'Custom Object': 0.7580645161290323, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
random_forest,"{'n_estimator': '50', 'max_depth': '50'}","X_stats, X_name, X_sample1, X_sample2",0.9380832705034766,0.8078321304464048,0.8073394495412843,"{'Datetime': 0.8, 'Sentence': 0.8666666666666667, 'Custom Object': 0.75, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
random_forest,"{'n_estimator': '25', 'max_depth': '10'}",X_stats,0.8489821563206835,0.7385725741780272,0.7761467889908257,"{'Datetime': 0.7586206896551724, 'Sentence': 0.8181818181818182, 'Custom Object': 0.8076923076923077, 'URL': 0.0, 'Numbers': 0.0, 'List': 0.5}"
