% nans,Attribute_name,Check,Num of nans,Reason,Record_id,Total_val,Unnamed: 2,Unnamed: 9,check,max_val,mean,min_val,num of dist_val,reason,sample_1,sample_2,sample_3,sample_4,sample_5,std_dev,y_Arun,y_act,y_pred
,publish_time,check,0,d,38,1111505,,27.3678481,,201000000000.0,201000000000.0,201000000000.0,304195,,201000000000,201000000000,201000000000,201000000000,201000000000,3357558.861,Usable with extraction,Usable with extraction,Unusable
,publish_time,check,0,d,39,1035896,,28.86979002,,201000000000.0,201000000000.0,201000000000.0,299061,,201000000000,201000000000,201000000000,201000000000,201000000000,3267038.77899999,Usable with extraction,Usable with extraction,Unusable
,publish_time,check,0,d,40,761700,,35.77812787,,201000000000.0,201000000000.0,201000000000.0,272522,,201000000000,201000000000,201000000000,201000000000,201000000000,3513472.181,Usable with extraction,Usable with extraction,Unusable
,publish_time,check,0,d,41,790855,,35.05155812,,201000000000.0,201000000000.0,201000000000.0,277207,,201000000000,201000000000,201000000000,201000000000,201000000000,3412925.818,Usable with extraction,Usable with extraction,Unusable
,publish_time,check,0,d,42,807482,,34.84907404,,202000000000.0,202000000000.0,202000000000.0,281400,,202000000000,202000000000,202000000000,202000000000,202000000000,3413403.05,Usable with extraction,Usable with extraction,Unusable
,publish_time,check,0,d,43,732110,,47.05536053,,202000000000.0,202000000000.0,202000000000.0,344497,,202000000000,202000000000,202000000000,202000000000,202000000000,3347057.38399999,Usable with extraction,Usable with extraction,Unusable
,publish_time,check,0,d,44,799921,,44.161986,,202000000000.0,202000000000.0,202000000000.0,353261,,202000000000,202000000000,202000000000,202000000000,202000000000,3402174.742,Usable with extraction,Usable with extraction,Unusable
,Style,check,596,c,48,73861,,0.2369315336,,0.0,0.0,0.0,175,,Cream Ale,Holiday/Winter Special Spiced Beer,American IPA,Belgian Blond Ale,American Pale Ale,0.0,Usable directly categorical,Usable with extraction,Usable with extraction
,PrimingMethod,check,67095,c,48,73861,,1.183303773,,0.0,0.0,0.0,874,,corn sugar,,Sukkerlake,Corn Sugar,Priming Sugar,0.0,Usable directly categorical,Usable with extraction,Usable with extraction
,color,check,3626,d,51,29421,,0.5234356412,,0.0,0.0,0.0,154,,orange,blue /white,white/black,black/white,brown,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,color,check,0,c,52,78256,,0.6708750767,,0.0,0.0,0.0,525,,Orange Tabby,White/Brown,Blue/White,White,Brown,0.0,Usable with extraction,Usable with extraction,Usable directly categorical
,publish_date,check,0,d,56,1103665,,0.4912722611,,20171231.0,20099797.28,20030219.0,5422,,20030219,20030220,20030221,20030222,20030223,40823.79658,Usable with extraction,Usable with extraction,Unusable
,film_date,check,0,d,59,2550,,28.82352941,,1503792000.0,1321927552.0,74649600.0,735,,1140825600,1140739200,1140912000,1140566400,1138838400,119715579.1,Usable with extraction,Usable with extraction,Context_specific
,published_date,check,0,d,59,2550,,97.64705882,,1506092422.0,1343525266.0,1151367060.0,2490,,1151367060,1151440680,1152490260,1153181460,1153786260,94621532.1,Usable with extraction,Usable with extraction,Unusable
,taster_twitter_handle,check,31213,c,90,129971,,0.01154103608,,0.0,0.0,0.0,15,,@kerinokeefe,@vossroger,@paulgwineÍïÍ¢ÍâÍ_,,@wineschach,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,word_score,check,1148,c,93,1191,,1.595298069,,0.0,0.0,0.0,19,,,uhhhhhhhhh,burp,YET,classic,0.0,Usable with extraction,Usable with extraction,Unusable
,PrimingAmount,interesting,69085,c,48,73861,,2.568337824,,0.0,0.0,0.0,1897,,4.5 oz,,6-7 g sukker/l,4.2 oz,4 oz,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,Item,,0,c,33,21477,,,,0.0,0.0,0.0,115,,Wheat and products,Rice (Milled Equivalent),Barley and products,Maize and products,Millet and products,0.0,Usable directly categorical,Usable with extraction,Usable with extraction
,use,,4228,c,34,671205,,,,0.0,0.0,0.0,424913,,"To buy seasonal, fresh fruits to sell. ",to repair and maintain the auto rickshaw used in their business.,To repair their old cycle-van and buy another one to rent out as a source of income,to purchase an embroidery machine and a variety of new embroidery materials.,to purchase one buffalo.,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,posted_time,,0,d,34,671205,,,,0.0,0.0,0.0,667399,,2014-01-01 06:12:39+00:00,2014-01-01 06:51:08+00:00,2014-01-01 09:58:07+00:00,2014-01-01 08:03:11+00:00,2014-01-01 11:53:19+00:00,0.0,Usable with extraction,Usable with extraction,Unusable
,disbursed_time,,2396,d,34,671205,,,,0.0,0.0,0.0,5719,,2013-12-17 08:00:00+00:00,2013-12-24 08:00:00+00:00,2014-01-30 01:42:48+00:00,2013-12-16 08:00:00+00:00,2013-12-20 08:00:00+00:00,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,funded_time,,48331,d,34,671205,,,,0.0,0.0,0.0,498007,,2014-01-02 10:06:32+00:00,2014-01-02 09:17:23+00:00,2014-01-01 16:01:36+00:00,2014-01-01 13:00:00+00:00,2014-01-01 19:18:51+00:00,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,tags,,171416,c,34,671205,,,,0.0,0.0,0.0,86719,,,"user_favorite, user_favorite","#Elderly, #Woman Owned Biz",user_favorite,"#Repeat Borrower, #Woman Owned Biz",0.0,Usable with extraction,Usable with extraction,Usable with extraction
,borrower_genders,,4221,c,34,671205,,,,0.0,0.0,0.0,11298,,female,"female, female","female, female, female","female, female, female, female, female, female, female, female",male,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,date,,0,d,34,671205,,,,0.0,0.0,0.0,1298,,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,0.0,Usable with extraction,Usable with extraction,Usable directly categorical
,LocationName,,1788,c,35,2772,,,,0.0,0.0,0.0,984,,"Badakhshan, Afghanistan","Badghis, Afghanistan","Baghlan, Afghanistan","Balkh, Afghanistan","Bamyan, Afghanistan",0.0,Usable with extraction,Usable with extraction,Usable with extraction
,geo,,0,c,35,2772,,,,0.0,0.0,0.0,881,,"(36.7347725, 70.81199529999999)","(35.1671339, 63.7695384)","(35.8042947, 69.2877535)","(36.7550603, 66.8975372)","(34.8100067, 67.8212104)",0.0,Usable with extraction,Usable with extraction,Usable with extraction
,geocode_old,,14536,c,37,15736,,,,0.0,0.0,0.0,340,,"(13.75, 103.0)",,"(12.0, 105.5)","(12.0, 104.5)","(11.5, 104.8333333)",0.0,Usable with extraction,Usable with extraction,Usable with extraction
,LocationName,,0,c,37,15736,,,,0.0,0.0,0.0,9561,,"Banteay Meanchey, Cambodia","Battambang Province, Cambodia","Kampong Cham Province, Cambodia","Kampong Chhnang Province, Cambodia","Kampong Speu Province, Cambodia",0.0,Usable with extraction,Usable with extraction,Usable with extraction
,names,,2075,c,37,15736,,,,0.0,0.0,0.0,6275,,Banteay Meanchey Province; Cambodia,Battambang Province; Cambodia,Kampong Cham Province; Cambodia,Kampong Chhnang Province; Cambodia,Kampong Speu Province; Cambodia,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,geo,,0,c,37,15736,,,,0.0,0.0,0.0,6558,,"(13.6672596, 102.8975098)","(13.0286971, 102.989615)","(12.0982918, 105.3131185)","(12.1392352, 104.5655273)","(11.6155109, 104.3791912)",0.0,Usable with extraction,Usable with extraction,Usable with extraction
,mpi_region,,14,c,37,15736,,,,0.0,0.0,0.0,392,,"Banteay Mean Chey, Cambodia","Kampong Cham, Cambodia","Kampong Chhnang, Cambodia","Phnom Penh, Cambodia","Kampot & Kep, Cambodia",0.0,Usable with extraction,Usable with extraction,Usable with extraction
,mpi_geo,,6065,c,37,15736,,,,0.0,0.0,0.0,335,,"(13.6672596, 102.8975098)","(11.9924294, 105.4645408)","(12.1392352, 104.5655273)","(11.5448729, 104.8921668)","(10.4790637, 104.2941991)",0.0,Usable with extraction,Usable with extraction,Usable with extraction
,headline_text,,3,c,38,1111505,,,,0.0,0.0,0.0,879548,,Sleep apnea device eases fatigue in three weeks,Squire Sanders Completes Combination With Hammonds,U.S. Census Bureau Daily Feature for January 1,Deadly blast rocks Nigerian capital,KINGSWAY AND ATLAS ANNOUNCE CLOSING OF ATLAS TRANSACTION,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,headline_text,,6,c,39,1035896,,,,0.0,0.0,0.0,849650,,Leap Year 2012 Calls for 'One More Disney Day' as Walt Disney World; Disneyland Resorts Turn Feb. 29 Into 24 Hours of Nonstop Theme Park Magic,MSG Leaves Time Warner Cable Sports Fans in the Dark,Box Office - 'M - I - 4' Passes $100M Domestically; Leads the Weekend,New York New Year,Number of Ion Community Users Triples; Spurred by Open Access to DNA Sequencing Protocols and Analysis Software,0.0,Usable with extraction,Usable with extraction,Usable with extraction
