Record_id,Attribute_names,Labelled
38,"publish_time, headline_text",True
39,"publish_time, headline_text",True
40,"publish_time, headline_text",True
41,"publish_time, headline_text",True
42,"publish_time, headline_text",True
43,"publish_time, headline_text",True
44,"publish_time, headline_text",True
48,"Style, PrimingMethod, PrimingAmount, URL",True
51,"color, age_upon_outcome, date_of_birth, datetime, monthyear, age_group, dob_monthyear",True
52,"color, age_upon_outcome, date_of_birth, datetime, monthyear",True
56,"publish_date, headline_text",True
59,"film_date, published_date, description, name, ratings, related_talks, speaker_occupation, tags, title, url",True
90,"taster_twitter_handle, description, title",True
93,"word_score, title, review_date, best_tracks, worst_track, link",True
33,Item,True
34,"use, posted_time, disbursed_time, funded_time, tags, borrower_genders, date",True
35,"LocationName, geo",True
37,"geocode_old, LocationName, names, geo, mpi_region, mpi_geo",True
50,"EVENT_DATE, NOTES, SOURCE",True
53,"title, date, content",True
54,"title, date, url, content",True
55,"title, date, url, content",True
60,"transcript, url",True
62,set_num,True
64,set_num,True
67,set_num,True
88,Date,True
89,description,True
91,"Data, Description",True
92,Data,True
130,"q0004_other, q0005_other, q0006_other, q0008_other, q0009_other, q0010_other, q0012_other, q0013_other, q0017_other, q0019_other, q0020_other, q0022_other, q0023_other, q0024_other, q25LangOther, q0026_other, q0027_other, q28LoveOther, q0029_other, q0030_other, q0032_other, q0035_other, StartDate, EndDate",True
131,"q0004_other, q0005_other, q0006_other, q0008_other, q0009_other, q10Industry, q0010_other, q0012_other, q0013_other, q0017_other, q0019_other, q0020_other, q0022_other, q0023_other, q0024_other, q25LangOther, q0026_other, q0027_other, q28LoveOther, q0029_other, q0030_other, q0032_other, q0035_other, q1AgeBeginCoding, q2Age, q18NumDevelopHireWithinNextYear, q31Level3, q34IdealLengHackerRankTest, StartDate, EndDate",True
133,"PoorWeather, PRCP, TSHDSBRSGF, Date",True
124,"WHOIS_UPDATED_DATE, WHOIS_REGDATE",True
114,"geocode_old, geocode, names, geo, mpi_region, mpi_geo, ADM1SALBNA, region, LocationName",True
119,SpecialNotes,True
122,"DateTime, Observation",True
125,"Description, Current Status Date, Issued Date, Completed Date, First Construction Document Date, Permit Expiration Date, Location, Permit Creation Date, Filed Date",True
126,"secondary_breed, license_issue_date, primary_breed",True
128,"Survey Question, Notes",True
129,Label,True
134,"LAT, LON",True
145,"ACTION, VIOLATION DESCRIPTION, GRADE DATE, INSPECTION DATE",True
158,"number_available_in_stock, product_name, price, amazon_category_and_sub_category, customers_who_bought_this_item_also_bought, description, product_information, product_description, items_customers_buy_after_viewing_this_item, customer_questions_and_answers, customer_reviews, sellers",True
162,"venue.phone, created, description, group.created, how_to_find_us, event_name, updated, venue.address_1, venue.address_2, event_url, event_time",True
157,"magnitude, description",True
148,"abilities, classfication",True
169,"Review_Date, Hotel_Address, Negative_Review, Positive_Review, Tags, days_since_review",True
147,msamd_name,True
151,"Date, Day",True
152,commodity_transaction,True
